ChronicIllness	MasterProductID	MasterProductFullName
Anti-Coagulant	1827	CLEXANE INJ 80MG/0.8ML 10 10
Anti-Coagulant	1829	CLEXANE FORTE PFS 120MG/0.8ML 10 10
Anti-Coagulant	1830	CLEXANE INJ 40MG/0.4ML 10 10
Anti-Coagulant	1832	CLEXANE INJ 80MG/0.8ML 15 15
Depression	1863	CLOMIPRAMINE (HH) TAB 25MG 50 
Depression	1865	CLOMIPRAMINE (HEALTHSENSE) TAB 25MG 50 
Depression	1866	CLOMIPRAMINE (TW) TAB 25MG 50 
Depression	2041	CONCORZ TAB 50MG 30 BLISTER
Depression	2042	CONCORZ TAB 100MG 30 BLISTER
Depression	2043	CONCORZ TAB 100MG 30 BOTTLE
Heart Failure	2062	CORBETON TAB 20MG 100 
Heart Failure	2065	CORALAN TAB 7.5MG 56 
Anti-Coagulant	2084	COUMADIN TAB 2MG 50 
Anti-Coagulant	2089	COUMADIN TAB 10MG 50 
Lipids	2120	CRESTOR TAB 5MG 30 
Depression	2179	CYMBALTA CAP 60MG 28 
Diabetes	2253	DAONIL TAB 5MG 100 
Depression	2347	DEPTRAN TAB 50MG 50 
Heart Failure	2355	DERALIN TAB 40MG 100 
Heart Failure	2356	DERALIN TAB 10MG 100 
Diabetes	2428	DIAFORMIN TAB 500MG 100 
Diabetes	2431	DIABEX 1000 TAB 1000MG 60 60
Diabetes	2432	DIABEX TAB 1000MG 90 90
Diabetes	2438	DIAFORMIN XR ER-TAB 500MG 90 90
Diabetes	2444	DIAMICRON MR-TAB 60MG 60 
Diabetes	2445	DIAPRIDE TAB 1MG 30 
Diabetes	2446	DIAPRIDE TAB 2MG 30 
Diabetes	2447	DIAPRIDE TAB 3MG 30 
Diabetes	2449	DIABEX TAB 500MG 100 
Heart Failure	2530	DILATREND TAB 3.125MG 30 
Heart Failure	2536	DILASIG TAB 6.25MG 60 
Heart Failure	2539	DILASIG TAB 25MG 60 
Epilepsy	2549	DILANTIN SOD CAP 100MG 200 
Diabetes	2597	DIMIREL TAB 2MG 30 
Depression	2886	EFEXOR XR SR-CAP 37.5MG 28 
Depression	2932	ELEVA TAB 100MG (AS HCL) 30 30
Immunology	3018	ENBREL VL 25MG + SOLVENT 1ML 1 4
Immunology	3019	ENBREL VL 25MG + SOLVENT 1ML 1 4
Immunology	3022	ENBREL PFS 50MG/1ML 1 4
Immunology	3023	ENBREL INJ 50MG/1ML,4 SINGLEUSE 1 4
Depression	3030	ENDEP TAB 50MG 50 
Epilepsy	3062	EPIRAMAX TAB 50MG 60 
Epilepsy	3064	EPIRAMAX TAB 200MG 60 
Depression	3126	ESCITALOPRAM (CHEM-MART) TAB 10MG 28 
Depression	3128	ESCITALOPRAM (CHEM-MART) TAB 20MG 28 
Depression	3130	ESIPRAM TAB 10MG 28 
Depression	3199	EVELEXA XR SR-CAP 75MG 28 
Osteoporosis	3200	EVISTA TAB 60MG 28 28
Hypertension	3212	EXFORGE TAB 10MG/160MG 28 
Lipids	3228	EZETROL TAB 10MG 30 
Depression	3277	FAVERIN TAB 50MG 30 
Urology	3353	FINASTA TAB 5MG 30 
Urology	3354	FINNACAR TAB 5MG 30 
Urology	3423	FLOMAXTRA SR-TAB 400MCG 30 
Diabetes	3510	FORMET TAB 850MG 60 BLISTER
Diabetes	3512	FORMET TAB 1000MG 90 BOTTLE
Osteoporosis	3520	FOSAMAX TAB 70MG 4 
Osteoporosis	3521	FOSAMAX PLUS TAB 70MG/70MCG 4 
Osteoporosis	3522	FOSAMAX PLUS TAB 70MG/140MCG 4 
Osteoporosis	3523	FOSAMAX PLUS D-CAL O-PK 70MG/140MCG/500MG 1 
Epilepsy	3632	GABAHEXAL CAP 400MG 100 
Epilepsy	3633	GABAPENTIN (DBL) CAP 100MG 100 
Epilepsy	3638	GABARAN TAB 800MG 100 
Epilepsy	3639	GABARAN TAB 600MG 100 
Epilepsy	3642	GABAPENTIN (PHARMACOR) TAB 600MG 100 
Epilepsy	3644	GABATINE CAP 100MG 100 
Epilepsy	3653	GABAPENTIN (DBL) CAP 300MG 100 
Epilepsy	3663	GABITRIL TAB 10MG 50 50
Lipids	3726	GEMFIBROZIL (TW) TAB 600MG 60 
Lipids	3728	GEMFIBROZIL (PHARMACOR) TAB 600MG 60 
Lipids	3730	GEMHEXAL TAB 600MG 60 BLISTER
Depression	3749	MOCLOBEMIDE (GENRX) TAB 300MG 60 
Diabetes	3798	GLIMEPIRIDE (APO) TAB 1MG 30 
Diabetes	3801	GLIMEPIRIDE (APO) TAB 4MG 30 
Diabetes	3802	GLIMEPIRIDE (SANDOZ) TAB 1MG 30 
Diabetes	3803	GLIMEPIRIDE (SANDOZ) TAB 2MG 30 
Diabetes	3828	GLUCOBAY TAB 100MG 90 
Diabetes	3835	GLUCOHEXAL TAB 500MG 100 BOTTLE
Diabetes	3836	GLUCOHEXAL TAB 850MG 60 BOTTLE
Diabetes	3838	GLUCOHEXAL TAB 850MG 60 BLISTER
Diabetes	3855	GLUCOVANCE TAB 500MG/5MG 90 
Diabetes	3856	GLUCOVANCE TAB 250MG/1.25MG 90 
Diabetes	4079	HUMALOG INJ 100 UNITS/ML, 3ML 5 1 
Immunology	4082	HUMIRA PFP 40MG/0.8ML 2 2
Immunology	4084	HUMIRA PFS 40MG/0.8ML 1 6
Diabetes	4087	HUMULIN R INJ 100 UNITS/ML, 3ML 5 1 
Urology	4149	HYTRIN TAB 2MG 28 28
Urology	4151	HYTRIN TAB 10MG 28 28
Diabetes	4161	MIXTARD 30/70 PENFILL INJ 100 UNITS/ML, 3ML 5 1 
Diabetes	4232	HUMULIN NPH INJ 100 UNITS/ML, 10ML 1 
Diabetes	4237	HYPURIN ISOPHANE INJ 100 UNITS/ML, 10ML 1 
Diabetes	4238	ISOTARD MC INJ 10ML 1 
Diabetes	4241	HYPURIN NEUTRAL INJ 100 UNITS/ML, 10ML 1 
Diabetes	4243	INSULATARD HM INJ 10ML 1 
Heart Failure	4255	INDERAL TAB 160MG 50 
Diabetes	4280	HUMULIN 30/70 INJ 100 UNITS/ML, 10ML 1 
Diabetes	4476	JANUVIA TAB 100MG 28 
Diabetes	4478	JANUVIA TAB 50MG 28 
Hypertension	4540	KARVEZIDE TAB 150MG/12.5MG 30 
Hypertension	4541	KARVEZIDE TAB 300MG/12.5MG 30 
Epilepsy	4580	KEPCET TAB 1G 60 
Heart Failure	4627	KREDEX TAB 6.25MG 60 
Heart Failure	4628	KREDEX TAB 12.5MG 60 
Heart Failure	4629	KREDEX TAB 25MG 60 
Heart Failure	4630	KREDEX TAB 3.125MG 30 
Epilepsy	4664	LAMICTAL TAB 100MG 56 
Epilepsy	4674	LAMIDUS TAB 50MG 56 
Epilepsy	4675	LAMIDUS TAB 100MG 56 
Epilepsy	4683	LAMOTRIGINE (GENRX) TAB 25MG 56 
Epilepsy	4685	LAMOTRIGINE (GENRX) TAB 50MG 56 
Epilepsy	4687	LAMOTRIGINE (GENRX) TAB 100MG 56 
Epilepsy	4694	LAMOTRIGINE (GH) TAB 200MG 56 
Epilepsy	4696	LAMOTRIGINE (GA) TAB 50MG 56 
Epilepsy	4706	LAMOTRUST TAB 200MG 56 
Diabetes	4722	LANTUS INJ 100 UNITS/ML, 3ML 5 1 
Epilepsy	4791	LEVETIRACETAM (TW) TAB 250MG 60 
Epilepsy	4792	LEVETIRACETAM (APO) TAB 500MG 60 
Epilepsy	4799	LEVITAM TAB 1G 60 
Depression	4819	LEXAPRO TAB 20MG 28 
Lipids	4855	LIPEX TAB 20MG 30 
Lipids	4857	LIPAZIL TAB 600MG 60 
Lipids	4859	LIPEX TAB 80MG 30 
Lipids	4867	LIPITOR TAB 40MG 30 
Lipids	4869	LIPITOR TAB 80MG 30 
Lipids	4877	LIPOSTAT TAB 40MG 30 
Lipids	4882	LIPRACHOL TAB 20MG 30 
Depression	4941	LITHICARB TAB 250MG 1000 1000
Depression	4942	LITHICARB TAB 250MG 200 200
Heart Failure	4985	LOPRESOR TAB 50MG 100 
Lipids	4986	LOPID TAB 600MG 60 
Depression	5010	LOVAN LIQ 20MG/5ML 140ML 1 
Depression	5016	LOXALATE TAB 20MG 28 
Depression	5033	LUMIN TAB 20MG 50 
Depression	5037	LUVOX TAB 100MG 30 
Anti-Coagulant	5109	MAREVAN TAB 3MG 50 
Anti-Coagulant	5111	MAREVAN TAB 5MG 50 
Diabetes	5280	METEX XR ER-TAB 500MG 120 
Diabetes	5291	METFORMIN (GEN HLTH) TAB 850MG 60 
Diabetes	5294	METFORMIN (GA) TAB 1000MG 90 
Diabetes	5296	METFORMIN (GA) TAB 500MG 100 
Diabetes	5297	METFORMIN (GA) TAB 850MG 60 
Diabetes	5303	METFORMIN-BC TAB 850MG 60 
Heart Failure	5317	METOPROLOL-BC TAB 50MG 100 
Heart Failure	5318	METOPROLOL-BC TAB 100MG 60 
Heart Failure	5320	METOPROLOL (CHEM-MART) TAB 50MG 100 
Heart Failure	5322	METOPROLOL (TW) TAB 50MG 100 
Heart Failure	5326	METOPROLOL (TW) TAB 100MG 60 
Heart Failure	5333	METROL TAB 50MG 100 
Diabetes	5359	MINIDIAB TAB 5MG 100 
Hypertension	5372	MICARDIS TAB 40MG 28 
Hypertension	5376	MICARDIS PLUS TAB 80MG/25MG 28 
Depression	5438	MIRTAZAPINE (SANDOZ) TAB 30MG 30 
Depression	5443	MIRTAZAPINE (CHEM-MART) TAB 45MG 30 
Depression	5444	MIRTAZAPINE (TW) TAB 45MG 30 
Depression	5445	MIRTAZON TAB 30MG 30 
Diabetes	5472	MIXTARD 30/70 INNOLET INJ 100 UNITS/ML, 3ML 5 1 
Heart Failure	5477	MINAX TAB 100MG 60 
Depression	5511	MOCLOBEMIDE-BC TAB 150MG 60 
Depression	5514	MOCLOBEMIDE (DBL) TAB 300MG 60 
Depression	5515	MOCLOBEMIDE (CHEM-MART) TAB 150MG 60 
Depression	5519	MOCLOBEMIDE (HEALTHSENSE) TAB 300MG 60 
Depression	5534	MOCLOBEMIDE (SANDOZ) TAB 300MG 60 
Depression	5576	MOVOX TAB 100MG 30 
Depression	5764	NARDIL TAB 15MG 100 
Heart Failure	5810	NEBILET TAB 10MG 28 
Epilepsy	5868	NEURONTIN CAP 400MG 100 
Heart Failure	6032	NOTEN TAB 50MG 30 BOTTLE
Diabetes	6046	NOVOMET 850 TAB 850MG 60 
Diabetes	6047	NOVONORM TAB 0.5MG 90 
Depression	6529	PAROXETINE (SANDOZ) TAB 20MG 30 BLISTER
Depression	6540	PAROXETINE (CR) TAB 20MG 30 
Epilepsy	6644	PENDINE TAB 800MG 100 
Epilepsy	6726	PHENOBARBITONE (SI) TAB 30MG 200 
Epilepsy	6732	PHENYTOIN AMP 100MG/2ML 5 
Lipids	6964	PRAVACHOL TAB 10MG 30 
Anti-Coagulant	6969	PRADAXA CAP 75MG 1 60
Lipids	6981	PRAVASTATIN (TW) TAB 20MG 30 
Lipids	6985	PRAVASTATIN (DP) TAB 10MG 30 
Lipids	6993	PRAVASTATIN (MI) TAB 40MG 30 
Lipids	6998	PRAVASTATIN (GEN HLTH) TAB 10MG 30 
Lipids	7006	PRAVASTATIN (CHEM-MART) TAB 80MG 30 
Lipids	7010	PRAVASTATIN (CHEM-MART) TAB 10MG 30 
Lipids	7014	PRAVASTATIN (GENRX) TAB 20MG 30 
Lipids	7344	RANSIM TAB 80MG 30 
Depression	7407	REMERON TAB 30MG 30 
Epilepsy	7566	RIVOTRIL TAB 500MCG 100 
Depression	7632	OXETINE TAB 20MG 30 BLISTER
Chronic Obstructive Pulmonary Disease (COPD)	7854	SERETIDE A-HALER 250MCG/50MCG 60D 1 
Depression	7878	SERTRALINE (ACTAVIS) TAB 100MG (AS HCL) 30 30
Lipids	7947	SIMVASTATIN (CHEM-MART) TAB 80MG 30 
Lipids	7959	SIMVASTATIN (RL) TAB 5MG 30 
Lipids	7962	SIMVASTATIN (RL) TAB 20MG 30 
Lipids	7965	SIMVASTATIN (GN) TAB 10MG 30 
Lipids	7966	SIMVASTATIN (GN) TAB 20MG 30 
Lipids	7992	SIMVABELL TAB 5MG 30 
Lipids	7998	SIMVASTATIN (CHEM-MART) TAB 10MG 30 
Heart Failure	8184	SOTACOR TAB 160MG 60 
Immunology	8251	STELARA VL 45MG/0.5ML 1 
Chronic Obstructive Pulmonary Disease (COPD)	8378	SYMBICORT TURBHAL 400MCG/12MCG 60D X 2 1 
Depression	8405	TALAM TAB 20MG 28 BOTTLE
Hypertension	8543	TEVETEN TAB 600MG 28 
Epilepsy	8637	TOPAMAX TAB 50MG 60 BLISTER
Epilepsy	8654	TOPIRAMATE (SANDOZ) TAB 50MG 60 
Depression	8795	TRYPTINE 10 TAB 10MG 50 
Epilepsy	9057	VIMPAT TAB 100MG 56 56
Epilepsy	9058	VIMPAT TAB 150MG 1 
Lipids	9136	VYTORIN TAB 10MG/20MG 30 
Epilepsy	9303	ZARONTIN CAP 250MG 200 
Epilepsy	9433	ZONEGRAN CAP 100MG 56 
Immunology	9503	ACTEMRA VL 200MG/10ML 1 
Diabetes	9539	GALVUS TAB 50MG 60 
Epilepsy	9541	LEVETIRACETAM (GH) TAB 250MG 60 
Epilepsy	9543	LEVETIRACETAM (GH) TAB 500MG 60 
Epilepsy	9544	LEVETIRACETAM (SANDOZ) TAB 500MG 60 
Immunology	9578	SIMPONI PFP 50MG/0.5ML 1 
Immunology	9579	SIMPONI PFS 50MG/0.5ML 1 
Epilepsy	9582	TOPIRAMATE (RANBAXY) TAB 50MG 60 
Epilepsy	9584	TOPIRAMATE (RANBAXY) TAB 200MG 60 
Epilepsy	9600	LAMOTRIGINE (APO) TAB 50MG 56 
Epilepsy	9602	LEVECETAM TAB 500MG 60 
Depression	9608	MOCLOBEMIDE (SANDOZ) TAB 150MG 60 
Hypertension	9639	EXFORGE HCT TAB 5MG/160MG/12.5MG 28 
Osteoporosis	9665	PROLIA PFS 60MG/1ML 1 
Hypertension	9671	SEVIKAR TAB 20MG/5MG 30 
Hypertension	9687	COZAVAN TAB 50MG 30 
Hypertension	9738	EXFORGE TAB 5MG/320MG 28 
Depression	9788	FLUVOXAMINE (GA) TAB 50MG 30 
Diabetes	9797	METFORMIN (CHEM-MART) TAB 1000MG 90 
Diabetes	9798	METFORMIN (TW) TAB 1000MG 90 
Diabetes	9840	METFORMIN (APO) TAB 500MG 100 
Diabetes	9857	ACPIO TAB 15MG (AS HCL) 28 
Diabetes	9859	ACPIO TAB 45MG (AS HCL) 28 
Heart Failure	9861	ATENOLOL (GEN HLTH) TAB 50MG 30 
Hypertension	9862	CANDESARTEN (TPX) TAB 8MG 30 
Diabetes	9894	PIOGLITAZONE (PHARMACOR) TAB 15MG (AS HCL) 28 
Diabetes	9897	PIOGLITAZONE (TW) TAB 15MG (AS HCL) 28 
Osteoporosis	9904	RISEDRONATE (CHEM-MART) TAB 35MG 4 
Osteoporosis	9980	ACTONEL EC COMBI O-PACK 35MG/1.25G (500MG CA 1 
Depression	9987	CITALO (PHARMACOR) TAB 20MG 28 
Depression	9988	CITALOPRAM (PFIZER) TAB 20MG 28 
Depression	9989	CITALOPRAM (PFIZER) TAB 40MG 28 
Diabetes	10001	PIOGLITAZONE (SANDOZ) TAB 45MG (AS HCL) 28 
Osteoporosis	10031	RISEDRONATE (SANDOZ) TAB 35MG 4 
Anti-Coagulant	10087	PRADAXA CAP 150MG 60 BLISTER
Lipids	10091	CHOLVASTIN TAB 20MG 30 
Diabetes	10099	GLIMEPIRIDE (GA) TAB 1MG 30 
Diabetes	10100	GLIMEPIRIDE (GA) TAB 2MG 30 
Diabetes	10101	GLIMEPIRIDE (GA) TAB 4MG 30 
Depression	10117	CITALOPRAM (GA) TAB 20MG 28 
Epilepsy	10125	LEVITACCORD TAB 500MG 60 
Heart Failure	10154	BISOPROLOL (GH) TAB 2.5MG 28 
Heart Failure	10155	BISOPROLOL (GH) TAB 5MG 28 
Immunology	10287	MABTHERA IV-SOLN 100MG/10ML 2 
Chronic Obstructive Pulmonary Disease (COPD)	10308	ONBREZ INH-CAP 150MCG 30 
Depression	10361	SERTRALINE (SANDOZ) TAB 50MG (AS HCL) 30 30
Diabetes	10390	TRAJENTA TAB 5MG 30 
Anti-Coagulant	10418	ELIQUIS TAB 2.5MG 30 30
Anti-Coagulant	10420	ELIQUIS TAB 2.5MG 60 60
Diabetes	10451	PIOGLITAZONE (GA) TAB 30MG (AS HCL) 28 
Lipids	10455	PRAVASTAT (PHARMACOR) TAB 40MG 30 
Heart Failure	10481	BISOPROLOL (PFIZER) TAB 2.5MG 28 
Heart Failure	10482	BISOPROLOL (PFIZER) TAB 5MG 28 
Depression	10491	CITALOPRAM (AURO) TAB 40MG 28 
Lipids	10541	TROVAS TAB 10MG 30 BLISTER
Lipids	10575	ATORVASTATIN (PFIZER) TAB 10MG 30 
Heart Failure	10579	BISOPROLOL (APO) TAB 2.5MG 28 
Heart Failure	10580	BISOPROLOL (APO) TAB 5MG 28 
Heart Failure	10586	BISOPROLOL (TW) TAB 5MG 28 
Urology	10616	FINASTERIDE (APO) TAB 5MG 30 
Epilepsy	10662	NUPENTIN TAB 600MG 100 
Hypertension	10717	OLMESARTAN (TPX BASE) TAB 20MG 30 
Hypertension	10718	OLMESARTAN (TPX BASE) TAB 40MG 30 
Diabetes	10830	GLUCOBETE TAB 1000MG 90 
Depression	10835	MILIVIN OD 15 OR-DISTAB 15MG 30 
Lipids	10870	SIMVASTATIN (SYNTHON) TAB 40MG 30 
Lipids	10871	SIMVASTATIN (SYNTHON) TAB 80MG 30 
Lipids	10885	ATORVACHOL TAB 20MG 30 
Lipids	10886	ATORVACHOL TAB 40MG 30 
Lipids	10887	ATORVACHOL TAB 80MG 30 
Lipids	10888	ATORVASTATIN (APO) TAB 10MG 30 
Lipids	10891	ATORVASTATIN (APO) TAB 80MG 30 
Lipids	10892	ATORVASTATIN (CHEM MART) TAB 10MG 30 
Lipids	10895	ATORVASTATIN (CHEM MART) TAB 80MG 30 
Lipids	10898	ATORVASTATIN (GEN HLTH) TAB 40MG 30 
Lipids	10899	ATORVASTATIN (GEN HLTH) TAB 80MG 30 
Lipids	10902	ATORVASTATIN (SANDOZ) TAB 40MG 30 
Lipids	10904	ATORVASTATIN (TW) TAB 10MG 30 
Lipids	10906	ATORVASTATIN (TW) TAB 40MG 30 
Heart Failure	10911	BISO TAB 10MG 28 
Lipids	10917	CADATIN TAB 5MG/20MG 30 
Lipids	10918	CADATIN TAB 5MG/40MG 30 
Lipids	10929	LORSTAT 10 TAB 10MG 30 
Lipids	10952	TORVASTAT TAB 80MG 30 
Depression	10960	A-CITALOPRAM TAB 20MG 28 
Diabetes	10989	METFORMIN (PFIZER) TAB 850MG 60 
Diabetes	10990	METFORMIN (PFIZER) TAB 500MG 100 
Anti-Coagulant	11006	PRADAXA CAP 75MG 60 
Anti-Coagulant	11007	PRADAXA CAP 110MG 60 
Lipids	11020	ATORVASTATIN (SCP) TAB 20MG 30 
Lipids	11084	PRAVASTATIN (PS) TAB 80MG 30 
Depression	11190	MIRTAZAPINE DISPERS (PFIZER) OR-DISTAB 45MG 30 
Diabetes	11199	PIOGLITAZONE (PFIZER) TAB 45MG (AS HCL) 28 
Osteoporosis	11222	ALENDRONATE (PFIZER) TAB 70MG 4 
Urology	11244	FINASTERIDE (GA) TAB 5MG 30 
Epilepsy	11281	REEDOS TAB 25MG 56 
Epilepsy	11282	REEDOS TAB 50MG 56 
Anti-Coagulant	11298	XARELTO TAB 20MG 28 28
Epilepsy	11318	LAMOTRIGINE (ASPEN) TAB 25MG 56 
Epilepsy	11319	LAMOTRIGINE (ASPEN) TAB 100MG 56 
Heart Failure	11329	ATENOLOL (GH) TAB 50MG 30 
Epilepsy	11338	GABAPENTIN (PFIZER) CAP 300MG 100 
Epilepsy	11340	GABAPENTIN (PFIZER) CAP 400MG 100 
Hypertension	11377	IRBESARTAN HCT (WTRP) TAB 150MG/12.5MG 30 
Hypertension	11381	IRBESARTAN HCTZ (APO) TAB 300MG/12.5MG 30 
Hypertension	11384	IRBESARTAN (CHEM-MART) TAB 75MG 30 
Hypertension	11386	IRBESARTAN (CHEM-MART) TAB 150MG 30 
Depression	11401	ANDEPRA CAP 30MG 28 
Depression	11402	ANDEPRA CAP 60MG 28 
Depression	11438	DULOXETINE (CHEM-MART) CAP 60MG 28 
Hypertension	11450	IRBESARTAN HCTZ (RBX) TAB 300MG/25MG 30 
Hypertension	11451	IRBESARTAN HCT (SANDOZ) TAB 300MG/25MG 30 
Hypertension	11454	IRBESARTAN (GA) TAB 75MG 30 
Hypertension	11458	IRBESARTAN (SANDOZ) TAB 75MG 30 
Hypertension	11459	IRBESARTAN (GA) TAB 150MG 30 
Hypertension	11462	IRBESARTAN (DRLA) TAB 150MG 30 
Hypertension	11468	IRBESARTAN (SANDOZ) TAB 300MG 30 
Hypertension	11470	IRBESARTAN HCTZ (GA) TAB 150MG/12.5MG 30 
Hypertension	11477	IRBESARTAN HCTZ (GA) TAB 300MG/12.5MG 30 
Hypertension	11478	IRBESATZIDE (GH) TAB 300MG/12.5MG 30 
Diabetes	11487	JUVICOR TAB 40MG/100MG 28 
Hypertension	11488	KARBESAT TAB 75MG 30 
Hypertension	11489	KARBESAT TAB 150MG 30 
Hypertension	11490	KARBESAT TAB 300MG 30 
Hypertension	11492	KSART HCT TAB 300MG/12.5MG 30 
Hypertension	11493	KSART HCT TAB 150MG/12.5MG 30 
Depression	11514	DRULOX CAP 30MG 28 
Depression	11515	DRULOX CAP 60MG 28 
Urology	11524	FINASTERIDE (ALPHAPHARM) TAB 5MG 30 
Hypertension	11532	IRBESARTAN (STADA) TAB 150MG 30 
Lipids	11559	CAVSTAT TAB 20MG 30 
Lipids	11560	CAVSTAT TAB 40MG 30 
Lipids	11572	ROSUVASTATIN (APO) TAB 10MG 30 BLIST
Lipids	11576	ROSUVASTATIN (TW) TAB 10MG 30 
Lipids	11586	ROSUVASTATIN (APO) TAB 40MG 30 BLIST
Depression	11605	COPERIN CAP 30MG 28 
Hypertension	11628	ADESAN TAB 4MG 30 
Hypertension	11630	ADESAN TAB 16MG 30 
Lipids	11634	ATORVASTATIN (SZ) TAB 20MG 30 
Hypertension	11641	CANDESARTAN (GA) TAB 4MG 30 
Hypertension	11642	CANDESARTAN (GH) TAB 4MG 30 
Hypertension	11644	CANDESARTAN (SANDOZ) TAB 4MG 30 
Hypertension	11645	CANDESARTAN (STADA) TAB 4MG 30 
Hypertension	11647	CANDESARTAN (GA) TAB 8MG 30 
Hypertension	11649	CANDESARTAN (ASPEN) TAB 8MG 30 
Hypertension	11651	CANDESARTAN (STADA) TAB 8MG 30 
Hypertension	11655	CANDESARTAN (ASPEN) TAB 16MG 30 
Hypertension	11658	CANDESARTAN (APO) TAB 16MG 30 
Hypertension	11659	CANDESARTAN HCTZ (GA) TAB 16MG/12.5MG 30 
Hypertension	11660	CANDESARTAN HCT (GH) TAB 16MG/12.5MG 30 
Hypertension	11661	CANDESARTAN COMBI (ASPEN) TAB 16MG/12.5MG 30 
Hypertension	11664	CANDESARTAN (GH) TAB 32MG 30 
Hypertension	11671	CANDESARTAN COMBI (ASPEN) TAB 32MG/12.5MG 30 
Hypertension	11674	CANDESARTAN HCT (GH) TAB 32MG/25MG 30 
Hypertension	11678	CANDESARTAN HCTZ (APO) TAB 32MG/12.5MG 30 
Depression	11681	DULOXETINE (GH) CAP 60MG 28 
Heart Failure	11694	METOPROLOL (APO) TAB 50MG 100 
Depression	11698	MIRTAZAPINE (GA) TAB 45MG 30 
Lipids	11725	ROSTOR 40 TAB 40MG 30 
Hypertension	11739	CANDESARTAN HCT (PHARMACOR) TAB 16MG/12.5MG 30 
Hypertension	11743	CANDESARTAN HCT (PHARMACOR) TAB 32MG/25MG 30 
Anti-Coagulant	11747	ELIQUIS TAB 5MG 60 60
Hypertension	11776	CANDESARTAN (RBX) TAB 8MG 30 
Hypertension	11777	CANDESARTAN (RBX) TAB 16MG 30 
Hypertension	11781	CANDESARTAN HCT (RBX) TAB 32MG/25MG 30 
Epilepsy	11784	GABAPENTIN (ASPEN) CAP 400MG 100 
Depression	11801	VENLAFAXINE SR (SCP) SR-CAP 75MG 28 
Hypertension	11805	CANDESARTAN (PHARMACOR) TAB 4MG 30 
Hypertension	11807	CANDESARTAN (PHARMACOR) TAB 16MG 30 
Diabetes	11812	FORMET ASPEN TAB 500MG 100 BOTTLE
Hypertension	11824	SEVIKAR HCT TAB 40MG/5MG/25MG 30 
Lipids	11831	ATOZET COMPOSITE PACK 10MG/10MG 1 
Lipids	11833	ATOZET COMPOSITE PACK 10MG/40MG 1 
Lipids	11834	ATOZET COMPOSITE PACK 10MG/80MG 1 
Hypertension	11840	CANDESARTAN (AURO) TAB 32MG 30 
